cluster,size,lat_center,lon_center
1,62014,34.0340162947074,-118.306315317519
2,29701,34.2081434126793,-118.475782041009
3,1650,33.787105090909,-118.274045212121
6,1358,33.7376136966126,-118.293143888071
5,572,34.2547788461538,-118.297166083916
7,343,33.829390670554,-118.304544606414
17,209,34.0420196172249,-118.548269856459
13,157,34.2732598726115,-118.559515286624
8,140,33.859645,-118.294782857143
10,131,33.9611328244275,-118.419090076336
20,97,34.1901958762887,-118.641883505155
23,92,34.0811608695652,-118.432970652174
16,86,33.957461627907,-118.445776744186
11,82,34.0462780487805,-118.525029268293
9,79,33.9276721518987,-118.432378481013
4,70,34.0292314285714,-118.518264285714
22,66,33.9319151515152,-118.376534848485
24,55,34.3206018181818,-118.496352727273
18,50,34.1374,-118.2941
30,47,34.3199340425532,-118.458614893617
12,46,33.9310413043478,-118.395663043478
15,44,33.7247386363636,-118.312422727273
28,44,34.0465522727273,-118.511079545455
26,43,33.9992674418605,-118.357627906977
25,42,34.2659785714286,-118.615202380952
14,41,34.2023780487805,-118.630648780488
19,39,34.1325,-118.3974
27,32,34.057403125,-118.494753125
38,32,34.130875,-118.440546875
36,31,34.3029516129032,-118.50175483871
29,30,33.9676466666667,-118.438433333333
35,30,34.1376933333333,-118.478733333333
31,30,34.1866366666667,-118.65375
32,27,33.8619259259259,-118.309096296296
34,21,34.0483476190476,-118.489333333333
37,20,34.27954,-118.514425
33,19,34.2077789473684,-118.6234
21,6,34.2509166666667,-118.5668
39,2,34.29715,-118.50535
